episode,episodic_reward
645,65081.84999999999
646,59070.579999999994
647,51472.68
648,36641.44
649,118340.44000000002
650,73895.3
651,51762.759999999995
652,59624.35
653,44527.8
654,52099.36
655,67178.8
656,103785.59999999999
657,103879.63
658,110965.47
659,28924.43
