step,action,action_feedback,avg_execution_time,cpu,episode,episodic_reward,mean_reward,mem,n-step_reward,replicas,requests,throughput
143,1.0,1.0,0.3019999861717224,0.035599999129772186,10.0,74720.6875,68155.296875,0.15330000221729279,7486.35986328125,9.0,4.0,100.0
144,0.0,0.0,0.3019999861717224,0.035599999129772186,10.0,59196.109375,68415.6875,0.15330000221729279,-100.0,9.0,4.0,100.0
145,1.0,1.0,0.7609999775886536,0.05559999868273735,10.0,51544.390625,68415.3203125,0.15399999916553497,7482.3701171875,10.0,12.0,100.0
146,0.0,0.0,0.7609999775886536,0.05559999868273735,10.0,59088.98046875,68487.0,0.15399999916553497,-100.0,10.0,12.0,100.0
147,-2.0,1.0,0.0,0.022299999371170998,10.0,66572.7890625,68482.4140625,0.16269999742507935,7490.06005859375,8.0,0.0,100.0
148,-1.0,1.0,0.0,0.0044999998062849045,10.0,67822.03125,67829.1015625,0.16910000145435333,7493.169921875,7.0,0.0,100.0
149,-2.0,1.0,0.8489999771118164,0.004100000020116568,10.0,73976.9921875,67450.5859375,0.17219999432563782,7498.2001953125,5.0,3.0,100.0
150,-2.0,1.0,0.4090000092983246,0.07429999858140945,11.0,43906.51171875,66997.640625,0.17409999668598175,7502.10009765625,3.0,10.0,100.0
151,2.0,1.0,0.006000000052154064,0.11620000004768372,11.0,36427.171875,67024.9140625,0.15299999713897705,7499.3701171875,5.0,3.0,100.0
152,2.0,1.0,1.815000057220459,0.08529999852180481,11.0,73905.0703125,67166.3203125,0.14830000698566437,7493.919921875,7.0,1.0,100.0
153,1.0,1.0,1.034999966621399,0.0348999984562397,11.0,51461.37109375,66714.671875,0.14470000565052032,7490.0,8.0,4.0,100.0
154,0.0,0.0,1.034999966621399,0.0348999984562397,11.0,59083.01171875,66892.140625,0.14470000565052032,-100.0,8.0,4.0,100.0
155,-2.0,1.0,0.5659999847412109,0.046799998730421066,11.0,74098.8671875,66883.2578125,0.14630000293254852,7496.16015625,6.0,39.0,100.0
156,-2.0,1.0,0.5680000185966492,0.07289999723434448,11.0,51429.83984375,66202.2578125,0.1688999980688095,7500.77001953125,4.0,2.0,100.0
157,0.0,0.0,0.5680000185966492,0.07289999723434448,11.0,95582.703125,66636.0546875,0.1688999980688095,-100.0,4.0,2.0,100.0
158,1.0,1.0,0.003000000026077032,0.04430000111460686,11.0,73986.671875,66930.0,0.1589999943971634,7498.5400390625,5.0,2.0,100.0
159,1.0,1.0,0.5429999828338623,0.048500001430511475,11.0,57016.421875,66903.5390625,0.15240000188350677,7496.259765625,6.0,8.0,100.0
160,-1.0,1.0,1.5199999809265137,0.07000000029802322,12.0,66585.0703125,67050.7578125,0.17800000309944153,7499.10009765625,5.0,7.0,100.0
161,-1.0,1.0,0.0020000000949949026,0.00419999985024333,12.0,51779.51953125,67200.5,0.16930000483989716,7499.919921875,4.0,1.0,100.0
162,-1.0,1.0,4.460999965667725,0.0038999998942017555,12.0,111430.578125,67720.5078125,0.17080000042915344,7501.18017578125,3.0,1.0,100.0
163,-2.0,1.0,4.932000160217285,0.004100000020116568,12.0,67044.203125,67726.265625,0.17599999904632568,7502.25,1.0,1.0,100.0
164,0.0,0.0,4.932000160217285,0.004100000020116568,12.0,52118.7109375,67730.09375,0.17599999904632568,-100.0,1.0,1.0,100.0
165,-2.0,0.0,4.932000160217285,0.004100000020116568,12.0,59731.1484375,67733.390625,0.17599999904632568,-100.0,1.0,1.0,100.0
166,-2.0,0.0,4.932000160217285,0.004100000020116568,12.0,169792.484375,68758.5625,0.17599999904632568,-100.0,1.0,1.0,100.0
167,0.0,0.0,4.932000160217285,0.004100000020116568,12.0,66846.3125,69014.078125,0.17599999904632568,-100.0,1.0,1.0,100.0
168,1.0,1.0,0.8169999718666077,0.4837000072002411,12.0,74682.2578125,69390.9140625,0.19259999692440033,7508.2001953125,2.0,8.0,100.0
169,2.0,1.0,2.122999906539917,0.27070000767707825,12.0,67246.953125,69466.1015625,0.1437000036239624,7502.93017578125,4.0,9.0,100.0
170,0.0,0.0,2.122999906539917,0.27070000767707825,13.0,52143.1484375,68870.625,0.1437000036239624,-100.0,4.0,9.0,100.0
171,-2.0,1.0,0.003000000026077032,0.058400001376867294,13.0,74896.453125,69100.421875,0.1687999963760376,7502.58984375,2.0,1.0,100.0
172,1.0,1.0,0.003000000026077032,0.09260000288486481,13.0,111938.53125,69624.5546875,0.15240000188350677,7502.06005859375,3.0,1.0,100.0
173,0.0,0.0,0.003000000026077032,0.09260000288486481,13.0,74726.0,69254.6953125,0.15240000188350677,-100.0,3.0,1.0,100.0
