timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,lstm_ppo_reward,reward_throughput,reward_cpu,reward_mem,reward_replicas,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777984825.61382,2.933,100.0,21,18,0.1034,0.1856,0,0,18,6,0,48,False,7431.36,7500.0,1.2925,2.32,-72.25,23,0,3310.31,5646.69
1777984855.6283467,5.758,36.84,19,24,0.3611,0.1809,0,22,2,0,0,46,False,892.41,1017.8892,4.5137,2.2612,-132.25,23,11,7449.43,10446.44
1777984885.641852,3.143,100.0,15,24,0.077,0.1685,0,24,0,0,0,48,False,7370.82,7500.0,0.9625,2.1063,-132.25,15,0,3195.65,5108.61
1777984915.6588175,4.518,100.0,14,16,0.0608,0.1948,8,13,3,0,0,29,False,7446.95,7500.0,0.76,2.435,-56.25,15,2,5222.58,10006.37
1777984945.6754277,4.705,66.67,3,15,0.2035,0.1862,9,10,5,0,0,25,False,3289.54,3333.6667,2.5437,2.3275,-49.0,5,2,7614.36,10067.56
1777984975.6910455,4.211,80.0,15,15,0.1565,0.1864,9,13,2,0,0,28,False,4755.29,4800.0,1.9563,2.33,-49.0,17,3,4906.86,10221.87
1777985005.705638,3.547,86.27,51,24,0.0925,0.2004,0,23,1,0,0,47,False,5453.3,5581.8847,1.1562,2.505,-132.25,44,6,4325.79,10577.15
1777985035.7190702,3.995,94.12,17,24,0.1274,0.1775,0,24,0,0,0,48,False,6515.49,6643.9308,1.5925,2.2188,-132.25,17,1,4184.49,8054.1
1777985065.7329419,2.612,94.74,19,24,0.0579,0.1697,0,23,1,0,0,47,False,6602.35,6731.7507,0.7238,2.1212,-132.25,17,1,3072.89,6467.22
1777985095.7503307,3.288,100.0,8,21,0.0413,0.1862,3,13,8,0,0,34,False,7402.84,7500.0,0.5163,2.3275,-100.0,9,0,3794.92,6183.22
1777985125.7643824,4.266,60.0,5,20,0.035,0.178,4,20,0,0,0,40,False,2612.41,2700.0,0.4375,2.225,-90.25,12,3,5135.38,10009.25
1777985155.7779663,3.528,80.0,50,24,0.3215,0.1831,0,24,0,0,0,48,False,4674.06,4800.0,4.0187,2.2888,-132.25,44,9,4403.29,10395.93
1777985185.7923,2.491,100.0,18,24,0.1181,0.166,0,24,0,0,0,48,False,7371.3,7500.0,1.4763,2.075,-132.25,16,0,2464.39,3704.33
1777985215.8060403,2.973,100.0,12,21,0.0368,0.177,3,17,4,0,0,38,False,7402.67,7500.0,0.46,2.2125,-100.0,11,0,2868.46,4393.35
1777985245.8192155,4.325,80.0,5,10,0.0284,0.1833,14,9,1,0,0,19,False,4782.4,4800.0,0.355,2.2912,-20.25,9,1,3603.35,6254.0
1777985275.83441,3.099,76.47,17,10,0.2731,0.1968,14,10,0,0,0,20,False,4371.37,4385.7457,3.4138,2.46,-20.25,17,4,4797.83,10072.12
1777985305.8470473,3.931,90.32,31,24,0.4161,0.2012,0,14,10,0,0,38,False,5993.74,6118.2768,5.2012,2.515,-132.25,34,5,4871.86,10239.19
1777985335.860819,2.804,86.67,15,24,0.1105,0.1782,0,22,2,0,0,46,False,5505.13,5633.7667,1.3813,2.2275,-132.25,21,4,5421.56,10105.65
1777985365.874868,3.062,100.0,6,14,0.0226,0.1792,10,14,0,0,0,28,False,7460.27,7500.0,0.2825,2.24,-42.25,8,0,2956.04,3355.57
1777985395.888688,3.458,100.0,26,14,0.1169,0.1837,10,13,1,0,0,27,False,7461.51,7500.0,1.4613,2.2963,-42.25,25,0,3373.71,5492.97
1777985425.905814,3.059,96.77,31,24,0.1568,0.2173,0,3,21,0,0,27,False,6895.75,7023.3247,1.96,2.7163,-132.25,31,1,2927.09,6368.31
1777985455.9190605,3.684,75.0,28,24,0.1702,0.177,0,23,1,0,0,47,False,4090.84,4218.75,2.1275,2.2125,-132.25,37,10,5936.38,10473.54
1777985485.9344819,5.146,100.0,3,18,0.0535,0.1793,6,18,0,0,0,36,False,7430.66,7500.0,0.6687,2.2412,-72.25,3,0,5149.7,4919.58
1777985515.9490595,3.831,100.0,18,11,0.2918,0.204,13,11,0,0,0,22,False,7481.2,7500.0,3.6475,2.55,-25.0,16,0,4014.21,7961.46
1777985545.9633808,3.326,100.0,18,15,0.1485,0.2022,9,14,1,0,0,29,False,7455.38,7500.0,1.8562,2.5275,-49.0,16,0,3611.6,7291.44
1777985575.9782863,2.599,100.0,24,20,0.1621,0.2067,0,0,20,4,0,40,False,7414.36,7500.0,2.0263,2.5837,-90.25,25,2,3314.99,10007.27
1777985605.992448,2.791,58.33,24,24,0.2384,0.1836,0,21,3,0,0,45,False,2424.82,2551.7917,2.98,2.295,-132.25,35,11,5771.89,10637.97
1777985636.00695,2.576,100.0,4,23,0.0345,0.1749,1,22,1,0,0,45,False,7381.62,7500.0,0.4313,2.1862,-121.0,8,0,3625.66,4534.49
1777985666.021055,3.915,100.0,20,15,0.1225,0.1834,9,5,10,0,0,20,False,7454.82,7500.0,1.5312,2.2925,-49.0,18,1,3849.28,7516.55
