timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777927865.356715,3.037,85.71,21,16,0.1421,0.1969,8,15,1,0,0,31,False,21,6,5113.92,10236.42
1777927895.3689926,3.093,96.43,28,24,0.0594,0.1802,0,11,13,0,0,35,False,26,1,3479.61,8007.31
1777927925.3831651,4.71,78.57,28,24,0.2904,0.1782,0,23,1,0,0,47,False,35,7,6196.21,10320.43
1777927955.395533,3.857,100.0,2,24,0.02,0.1726,0,23,1,0,0,47,False,3,0,3708.34,3404.04
1777927985.408004,2.618,81.25,16,15,0.061,0.1992,9,15,0,0,0,30,False,17,3,3536.91,10102.58
1777928015.4242954,3.094,100.0,20,15,0.1628,0.1939,9,15,0,0,0,30,False,18,0,3019.51,6969.31
1777928045.4372406,3.516,72.55,51,24,0.151,0.2089,0,22,2,0,0,46,False,44,12,5296.28,10407.36
1777928075.4526415,3.194,100.0,15,24,0.1282,0.171,0,23,1,0,0,47,False,15,1,4201.04,9808.56
1777928105.465237,3.079,100.0,3,14,0.0484,0.1863,10,13,1,0,0,27,False,5,0,3867.62,5153.22
1777928135.4777544,2.96,100.0,16,11,0.1366,0.1935,13,11,0,0,0,22,False,16,0,3222.29,5376.49
1777928165.4938633,2.654,100.0,16,11,0.102,0.1899,13,9,2,0,0,20,False,16,0,2560.28,5970.03
1777928195.5068216,2.425,100.0,12,11,0.0626,0.1898,13,7,4,0,0,18,False,13,0,2447.72,4390.63
1777928225.5204034,4.783,93.1,29,24,0.329,0.1625,0,24,0,0,0,48,False,34,2,4551.31,10103.18
1777928255.5328302,3.495,100.0,18,24,0.0846,0.1703,0,24,0,0,0,48,False,16,0,3361.05,6215.79
1777928285.5471106,2.96,100.0,13,11,0.0165,0.195,13,7,4,0,0,18,False,12,0,3066.73,4186.27
1777928315.559658,3.572,100.0,3,11,0.1317,0.1831,13,11,0,0,0,22,False,8,0,3143.06,6443.96
1777928345.5739067,2.472,84.21,19,11,0.1234,0.197,13,11,0,0,0,22,False,17,3,3902.12,10710.38
1777928375.5887294,3.946,98.0,50,24,0.0602,0.201,0,23,1,0,0,47,False,43,1,4071.19,7200.85
1777928405.6013157,3.069,100.0,19,24,0.0245,0.1632,0,24,0,0,0,48,False,17,0,3240.22,5896.7
1777928435.6142175,1.994,100.0,15,17,0.0322,0.1721,7,16,1,0,0,33,False,13,0,1997.39,2937.52
1777928465.6262846,3.796,100.0,6,12,0.0879,0.1816,12,10,2,0,0,22,False,8,0,3113.34,4631.16
1777928495.638727,4.261,92.86,14,12,0.1307,0.2028,12,12,0,0,0,24,False,17,1,3960.31,10131.7
1777928525.6522794,4.087,95.56,45,24,0.0529,0.2163,0,20,4,0,0,44,False,40,2,4595.73,10150.18
1777928555.6660345,3.11,100.0,19,24,0.1529,0.1777,0,24,0,0,0,48,False,20,3,4423.39,10051.87
1777928585.6798134,2.165,100.0,3,14,0.0371,0.18,10,12,2,0,0,26,False,5,0,2336.1,3554.21
1777928615.692623,2.547,100.0,14,9,0.1792,0.19,15,9,0,0,0,18,False,15,0,2541.24,3578.06
1777928645.7101943,3.351,100.0,20,9,0.1676,0.2025,15,8,1,0,0,17,False,17,0,3355.38,7959.62
1777928675.7230184,2.869,85.71,28,24,0.0223,0.1832,0,21,3,0,0,45,False,27,4,2568.39,4675.03
1777928705.7346544,2.785,100.0,13,24,0.2158,0.1588,0,21,3,0,0,45,False,23,0,2944.17,7690.68
1777928735.7468486,2.889,100.0,10,15,0.0677,0.174,9,15,0,0,0,30,False,13,0,2688.84,4672.34
1777928765.7596645,2.464,90.48,21,10,0.1979,0.2108,14,9,1,0,0,19,False,19,2,3224.83,10005.04
1777928795.7727141,2.894,100.0,14,10,0.2378,0.1896,4,0,10,10,5,560,False,23,0,2600.04,4606.67
1777928825.7926261,3.824,80.85,47,24,0.3092,0.1616,0,24,0,0,0,48,False,52,8,4596.26,10138.72
1777928855.805192,3.295,100.0,2,24,0.0124,0.1636,0,24,0,0,0,48,False,2,0,3299.47,1659.82
1777928885.8176277,2.65,100.0,15,14,0.0806,0.1783,10,12,2,0,0,26,False,15,0,2747.64,4637.31
1777928915.8295598,2.445,100.0,9,13,0.057,0.1793,11,9,4,0,0,22,False,14,0,2707.99,4428.45
1777928945.8448038,3.034,100.0,9,13,0.1239,0.1932,7,0,13,4,4,433,False,13,0,4009.79,7877.98
1777928975.862367,3.914,84.21,38,24,0.3008,0.1747,0,23,1,0,0,47,False,48,5,4569.2,10209.63
1777929005.875939,2.879,100.0,8,24,0.0682,0.174,0,23,1,0,0,47,False,8,0,2730.69,3970.25
1777929035.8894596,2.681,100.0,18,15,0.0741,0.1838,9,15,0,0,0,30,False,18,0,2497.29,4508.61
1777929065.9016144,3.291,100.0,20,14,0.2016,0.1907,10,14,0,0,0,28,False,18,0,3221.48,5796.4
1777929095.9134629,3.905,92.0,50,24,0.0992,0.2155,0,24,0,0,0,48,False,44,4,4613.27,10080.4
1777929125.9257321,2.947,100.0,14,24,0.0929,0.16,0,22,2,0,0,46,False,14,0,2790.94,4523.34
1777929155.9377177,2.238,100.0,4,13,0.0583,0.1881,11,7,6,0,0,20,False,8,0,2928.57,4111.8
1777929185.9499843,2.453,100.0,7,13,0.1365,0.1859,11,13,0,0,0,26,False,15,0,2745.71,4507.1
1777929215.9620984,2.707,100.0,20,12,0.1396,0.1817,12,12,0,0,0,24,False,17,0,2710.28,4506.56
1777929245.9753857,2.924,96.3,27,21,0.0196,0.1887,3,7,14,0,0,28,False,26,2,2956.58,6864.05
1777929275.9883058,3.988,75.0,12,21,0.1707,0.1786,3,18,3,0,0,39,False,24,3,4489.56,10303.84
1777929306.0018544,3.609,100.0,8,21,0.0616,0.1725,3,21,0,0,0,42,False,11,0,3269.87,5525.99
1777929336.0148327,1.86,100.0,2,10,0.0025,0.1832,14,5,5,0,0,15,False,6,0,2338.61,3732.94
1777929366.0295405,3.219,100.0,8,10,0.1724,0.1833,14,9,1,0,0,19,False,12,0,3127.88,6747.45
1777929396.0411878,2.101,100.0,6,10,0.0309,0.1858,14,3,7,0,0,13,False,6,0,2485.65,2741.9
1777929426.0549889,3.043,100.0,14,10,0.1404,0.1827,10,0,10,4,4,430,False,20,0,2937.91,4591.47
